"fecha_de_libertad","libertad","total"
2018-12-01,"COMPURGADO",2
2018-12-02,"COMPURGADO",2
2018-12-03,"COMPURGADO",6
2018-12-04,"COMPURGADO",2
2018-12-05,"COMPURGADO",4
2018-12-06,"COMPURGADO",3
2018-12-07,"COMPURGADO",7
2018-12-08,"COMPURGADO",5
2018-12-09,"COMPURGADO",2
2018-12-10,"COMPURGADO",5
2018-12-11,"COMPURGADO",7
2018-12-12,"COMPURGADO",4
2018-12-13,"COMPURGADO",3
2018-12-14,"COMPURGADO",3
2018-12-15,"COMPURGADO",2
2018-12-16,"COMPURGADO",2
2018-12-17,"COMPURGADO",2
2018-12-18,"COMPURGADO",3
2018-12-19,"COMPURGADO",6
2018-12-20,"COMPURGADO",0
2018-12-21,"COMPURGADO",2
2018-12-22,"COMPURGADO",0
2018-12-23,"COMPURGADO",1
2018-12-24,"COMPURGADO",4
2018-12-25,"COMPURGADO",5
2018-12-26,"COMPURGADO",1
2018-12-27,"COMPURGADO",1
2018-12-28,"COMPURGADO",5
2018-12-29,"COMPURGADO",3
2018-12-30,"COMPURGADO",6
2018-12-31,"COMPURGADO",1
2019-01-01,"COMPURGADO",3
2019-01-02,"COMPURGADO",7
2019-01-03,"COMPURGADO",0
2019-01-04,"COMPURGADO",5
2019-01-05,"COMPURGADO",10
2019-01-06,"COMPURGADO",1
2019-01-07,"COMPURGADO",4
2019-01-08,"COMPURGADO",5
2019-01-09,"COMPURGADO",5
2019-01-10,"COMPURGADO",10
2019-01-11,"COMPURGADO",7
2019-01-12,"COMPURGADO",9
2019-01-13,"COMPURGADO",0
2019-01-14,"COMPURGADO",5
2019-01-15,"COMPURGADO",7
2019-01-16,"COMPURGADO",8
2019-01-17,"COMPURGADO",8
2019-01-18,"COMPURGADO",7
2019-01-19,"COMPURGADO",2
2019-01-20,"COMPURGADO",3
2019-01-21,"COMPURGADO",1
2019-01-22,"COMPURGADO",1
2019-01-23,"COMPURGADO",5
2019-01-24,"COMPURGADO",3
2019-01-25,"COMPURGADO",4
2019-01-26,"COMPURGADO",2
2019-01-27,"COMPURGADO",7
2019-01-28,"COMPURGADO",5
2019-01-29,"COMPURGADO",6
2019-01-30,"COMPURGADO",5
2019-01-31,"COMPURGADO",10
2019-02-01,"COMPURGADO",1
2019-02-02,"COMPURGADO",3
2019-02-03,"COMPURGADO",1
2019-02-04,"COMPURGADO",2
2019-02-05,"COMPURGADO",3
2019-02-06,"COMPURGADO",4
2019-02-07,"COMPURGADO",17
2019-02-08,"COMPURGADO",6
2019-02-09,"COMPURGADO",3
2019-02-10,"COMPURGADO",2
2019-02-11,"COMPURGADO",7
2019-02-12,"COMPURGADO",8
2019-02-13,"COMPURGADO",9
2019-02-14,"COMPURGADO",22
2019-02-15,"COMPURGADO",0
2019-02-16,"COMPURGADO",8
2019-02-17,"COMPURGADO",3
2019-02-18,"COMPURGADO",4
2019-02-19,"COMPURGADO",7
2019-02-20,"COMPURGADO",10
2019-02-21,"COMPURGADO",5
2019-02-22,"COMPURGADO",3
2019-02-23,"COMPURGADO",7
2019-02-24,"COMPURGADO",5
2019-02-25,"COMPURGADO",4
2019-02-26,"COMPURGADO",9
2019-02-27,"COMPURGADO",8
2019-02-28,"COMPURGADO",10
2019-03-01,"COMPURGADO",14
2019-03-02,"COMPURGADO",3
2019-03-03,"COMPURGADO",3
2019-03-04,"COMPURGADO",5
2019-03-05,"COMPURGADO",10
2019-03-06,"COMPURGADO",8
2019-03-07,"COMPURGADO",6
2019-03-08,"COMPURGADO",10
2019-03-09,"COMPURGADO",2
2019-03-10,"COMPURGADO",1
2019-03-11,"COMPURGADO",7
2019-03-12,"COMPURGADO",7
2019-03-13,"COMPURGADO",8
2019-03-14,"COMPURGADO",6
2019-03-15,"COMPURGADO",4
2019-03-16,"COMPURGADO",1
2019-03-17,"COMPURGADO",1
2019-03-18,"COMPURGADO",1
2019-03-19,"COMPURGADO",3
2019-03-20,"COMPURGADO",7
2019-03-21,"COMPURGADO",8
2019-03-22,"COMPURGADO",5
2019-03-23,"COMPURGADO",14
2019-03-24,"COMPURGADO",4
2019-03-25,"COMPURGADO",3
2019-03-26,"COMPURGADO",4
2019-03-27,"COMPURGADO",5
2019-03-28,"COMPURGADO",7
2019-03-29,"COMPURGADO",4
2019-03-30,"COMPURGADO",5
2019-03-31,"COMPURGADO",1
2019-04-01,"COMPURGADO",3
2019-04-02,"COMPURGADO",4
2019-04-03,"COMPURGADO",3
2019-04-04,"COMPURGADO",13
2019-04-05,"COMPURGADO",11
2019-04-06,"COMPURGADO",3
2019-04-07,"COMPURGADO",3
2019-04-08,"COMPURGADO",9
2019-04-09,"COMPURGADO",5
2019-04-10,"COMPURGADO",4
2019-04-11,"COMPURGADO",5
2019-04-12,"COMPURGADO",5
2019-04-13,"COMPURGADO",6
2019-04-14,"COMPURGADO",17
2019-04-15,"COMPURGADO",14
2019-04-16,"COMPURGADO",6
2019-04-17,"COMPURGADO",7
2019-04-18,"COMPURGADO",1
2019-04-19,"COMPURGADO",4
2019-04-20,"COMPURGADO",11
2019-04-21,"COMPURGADO",8
2019-04-22,"COMPURGADO",0
2019-04-23,"COMPURGADO",2
2019-04-24,"COMPURGADO",11
2019-04-25,"COMPURGADO",16
2019-04-26,"COMPURGADO",8
2019-04-27,"COMPURGADO",1
2019-04-28,"COMPURGADO",4
2019-04-29,"COMPURGADO",5
2019-04-30,"COMPURGADO",12
2019-05-01,"COMPURGADO",21
2019-05-02,"COMPURGADO",23
2019-05-03,"COMPURGADO",20
2019-05-04,"COMPURGADO",24
2019-05-05,"COMPURGADO",10
2019-05-06,"COMPURGADO",17
2019-05-07,"COMPURGADO",8
2019-05-08,"COMPURGADO",8
2019-05-09,"COMPURGADO",4
2019-05-10,"COMPURGADO",2
2019-05-11,"COMPURGADO",12
2019-05-12,"COMPURGADO",16
2019-05-13,"COMPURGADO",10
2019-05-14,"COMPURGADO",3
2019-05-15,"COMPURGADO",3
2019-05-16,"COMPURGADO",9
2019-05-17,"COMPURGADO",11
2019-05-18,"COMPURGADO",23
2019-05-19,"COMPURGADO",19
2019-05-20,"COMPURGADO",2
2019-05-21,"COMPURGADO",15
2019-05-22,"COMPURGADO",14
2019-05-23,"COMPURGADO",4
2019-05-24,"COMPURGADO",3
2019-05-25,"COMPURGADO",30
2019-05-26,"COMPURGADO",2
2019-05-27,"COMPURGADO",8
2019-05-28,"COMPURGADO",12
2019-05-29,"COMPURGADO",5
2019-05-30,"COMPURGADO",8
2019-05-31,"COMPURGADO",9
2019-06-01,"COMPURGADO",1
2019-06-02,"COMPURGADO",0
2019-06-03,"COMPURGADO",3
2019-06-04,"COMPURGADO",21
2019-06-05,"COMPURGADO",3
2019-06-06,"COMPURGADO",7
2019-06-07,"COMPURGADO",7
2019-06-08,"COMPURGADO",12
2019-06-09,"COMPURGADO",11
2019-06-10,"COMPURGADO",13
2019-06-11,"COMPURGADO",14
2019-06-12,"COMPURGADO",10
2019-06-13,"COMPURGADO",8
2019-06-14,"COMPURGADO",8
2019-06-15,"COMPURGADO",3
2019-06-16,"COMPURGADO",16
2019-06-17,"COMPURGADO",4
2019-06-18,"COMPURGADO",17
